host_species,host_order,viral_richness_observed,zoonotic_richness_observed,viral_richness_base_predict,viral_richness_max_predict,zoonotic_richness_base_predict,zoonotic_richness_max_predict,missing_viruses,missing_zoonoses
Bandicota_bengalensis,RODENTIA,1,1,4.03480755079076,18.1929830970151,0.598156349680084,9.92054155068374,17.1929830970151,8.92054155068374
Bandicota_indica,RODENTIA,4,2,5.9244634232877,27.012459357276,2.48274094966319,14.7796819258262,23.012459357276,12.7796819258262
Bandicota_savilei,RODENTIA,2,2,2.29378207069039,24.7616070866765,1.29538066749027,13.4202273921614,22.7616070866765,11.4202273921614
Barbastella_barbastellus,CHIROPTERA,2,2,2.88700415151915,20.4385367888102,1.64394163611642,15.244743472893,18.4385367888102,13.244743472893
Bassaricyon_gabbii,CARNIVORA,1,1,1.22099661827265,16.5899133628045,0.729451439762034,10.2900758414669,15.5899133628045,9.29007584146689
Bison_bison,CETARTIODACTYLA,7,2,6.69431806579301,13.0213581250681,2.25644229412295,4.14410539026809,6.02135812506813,2.14410539026809
Bison_bonasus,CETARTIODACTYLA,2,0,2.89220649377995,12.8629403230722,0.623209736602059,3.82814097933955,10.8629403230722,3.82814097933955
Blastocerus_dichotomus,CETARTIODACTYLA,1,1,2.81807745396915,19.9505704508104,0.42090671490902,7.13268861038007,18.9505704508104,6.13268861038007
Boselaphus_tragocamelus,CETARTIODACTYLA,1,1,2.50456243423166,13.5700942022795,0.341445935262078,4.0218879943314,12.5700942022795,3.0218879943314
Bradypus_tridactylus,PILOSA,3,3,1.86975357003223,17.2693787014205,2.34998281812465,11.7020309252516,14.2693787014205,8.70203092525158
Bradypus_variegatus,PILOSA,4,4,1.75956786602531,17.840253254828,3.22949926774477,12.1904014574064,13.840253254828,8.1904014574064
Bubalus_arnee,CETARTIODACTYLA,1,0,1.49384863768724,19.6760199711618,0.350705877932948,5.76891472108461,18.6760199711618,5.76891472108461
Callithrix_geoffroyi,PRIMATES,1,1,2.28126271159242,19.8215911820811,0.721661753493069,12.2192197334972,18.8215911820811,11.2192197334972
Callithrix_jacchus,PRIMATES,7,4,6.84767907658745,21.4457820010836,4.66539346046262,14.0744265231553,14.4457820010836,10.0744265231553
Calomys_callosus,RODENTIA,5,3,5.53049283042437,24.9370413125044,3.99033996589703,17.104666675873,19.9370413125044,14.104666675873
Calomys_laucha,RODENTIA,2,2,1.64789151985736,14.3183123333613,1.72185233298696,10.4930424518172,12.3183123333613,8.49304245181721
Calomys_musculinus,RODENTIA,2,2,2.6943722211684,15.1989539599832,1.66247080061428,10.9011451512637,13.1989539599832,8.90114515126366
Calomys_tener,RODENTIA,1,1,1.65346990693444,22.466010219466,0.813824740509861,15.2724813554639,21.466010219466,14.2724813554639
Caluromys_derbianus,DIDELPHIMORPHIA,1,1,1.047265023158,14.1915055550464,0.806890216780315,9.5731913758886,13.1915055550464,8.5731913758886
Caluromys_philander,DIDELPHIMORPHIA,4,4,1.82818655238159,18.5359779075945,3.32599459655735,13.1704062605539,14.5359779075945,9.17040626055392
Canis_adustus,CARNIVORA,3,1,2.20698748279074,15.6243609264387,1.92815476267213,8.4835251109546,12.6243609264387,7.4835251109546
Canis_aureus,CARNIVORA,1,0,1.99637756693178,9.11093196139073,0.608317468700991,5.06189036748498,8.11093196139073,5.06189036748498
Canis_latrans,CARNIVORA,5,3,5.62694312122664,9.68101990585829,3.20606339347475,6.27986780122866,4.68101990585829,3.27986780122866
Canis_lupus,CARNIVORA,3,1,5.30578674848395,9.3195192862705,1.62430882864487,5.30222960214208,6.3195192862705,4.30222960214208
Canis_mesomelas,CARNIVORA,5,2,3.12044434066057,16.3068592987652,3.00678789582215,8.63042390392197,11.3068592987652,6.63042390392197
Canis_simensis,CARNIVORA,4,2,1.18325478640737,11.2717561931441,2.45282078533742,5.8328256670833,7.27175619314413,3.8328256670833
Capra_aegagrus,CETARTIODACTYLA,2,1,1.9857127328134,12.606451411418,0.74494331429656,4.12802413100267,10.606451411418,3.12802413100267
Capra_ibex,CETARTIODACTYLA,3,0,3.49064463059874,11.2945917970744,0.971114419417968,3.49389388266809,8.29459179707438,3.49389388266809
Capra_pyrenaica,CETARTIODACTYLA,1,0,2.61485488574711,11.7603145693685,0.341805907533671,3.58568112565322,10.7603145693685,3.58568112565322
Capreolus_capreolus,CETARTIODACTYLA,9,1,11.2951428008138,14.35693354596,2.93880426492564,4.88756462077081,5.35693354595997,3.88756462077081
Capricornis_crispus,CETARTIODACTYLA,1,0,2.63799534604721,11.8423575901521,0.357812302615301,3.78157481404008,10.8423575901521,3.78157481404008
Carollia_brevicauda,CHIROPTERA,3,3,2.75861656602834,35.5535346154701,2.63079060169988,26.1466652415142,32.5535346154701,23.1466652415142
Carollia_perspicillata,CHIROPTERA,15,12,7.48441229800686,33.5986516875164,12.1376166673929,24.5402971518116,18.5986516875164,12.5402971518116
Carollia_subrufa,CHIROPTERA,1,1,2.05931873571755,26.5408614072202,0.800606120586255,17.7435265002009,25.5408614072202,16.7435265002009
Castor_fiber,RODENTIA,1,1,1.99194352627592,9.04131431184241,0.622031627918784,5.60603331075862,8.04131431184241,4.60603331075862
Cebus_apella,PRIMATES,3,3,8.44857895182189,29.2982388487001,2.00641515295799,19.1850049096026,26.2982388487001,16.1850049096026
Cebus_capucinus,PRIMATES,1,1,4.37241469309079,22.1300036561617,0.663994928439152,13.4056020283734,21.1300036561617,12.4056020283734
Cephalophus_callipygus,CETARTIODACTYLA,1,1,1.40189584084628,18.4648764714776,0.378209842341865,5.87617981780513,17.4648764714776,4.87617981780513
Cephalophus_dorsalis,CETARTIODACTYLA,3,1,2.0039192363792,21.6325087717334,1.07278561504687,6.49370355474579,18.6325087717334,5.49370355474579
Cephalophus_leucogaster,CETARTIODACTYLA,3,1,1.500747629029,19.7668890779754,1.06121978067281,5.96517100260504,16.7668890779754,4.96517100260504
Cephalophus_nigrifrons,CETARTIODACTYLA,2,0,1.87570260965077,21.5484028803727,0.705327871053853,6.34616311721351,19.5484028803727,6.34616311721351
Cephalophus_weynsi,CETARTIODACTYLA,2,0,1.48636766172031,19.5774853346427,0.663599342325165,5.61982770786213,17.5774853346427,5.61982770786213
Ceratotherium_simum,PERISSODACTYLA,5,2,3.4179051761174,15.4333048727373,1.46245487593485,4.23000138617458,10.4333048727373,2.23000138617458
Cercocebus_torquatus,PRIMATES,1,1,1.84925316540889,19.3466402878731,0.770201864718698,12.7982487719451,18.3466402878731,11.7982487719451
Cercopithecus_mona,PRIMATES,5,4,2.8200055100356,19.9642201176543,3.52854242577594,11.9542003537417,14.9642201176543,7.95420035374172
Cercopithecus_nictitans,PRIMATES,4,3,2.20425097911941,21.6611643671802,2.76275019494314,12.7079505717422,17.6611643671802,9.70795057174223
Chaetodipus_hispidus,RODENTIA,1,1,1.23189262715908,15.4626973057409,0.852876318845807,11.0143967517709,14.4626973057409,10.0143967517709
Chaetodipus_spinatus,RODENTIA,1,1,0.991361879676714,13.4698224785347,0.805602683793734,9.25727718100635,12.4698224785347,8.25727718100635
Chironectes_minimus,DIDELPHIMORPHIA,1,1,1.57356397638709,21.3803131379867,0.900466612661764,16.1612727522544,20.3803131379867,15.1612727522544
Chlorocebus_aethiops,PRIMATES,10,6,1.95811142483158,18.0854676664217,6.40298284373876,9.72088857689807,8.08546766642173,3.72088857689807
Chlorocebus_pygerythrus,PRIMATES,3,3,1.73956348204724,23.6357800049353,1.9297321763406,12.8917642445867,20.6357800049353,9.89176424458666
Chlorocebus_sabaeus,PRIMATES,3,1,1.75103185925652,21.9789249610436,1.97427412467121,12.2355303679258,18.9789249610436,11.2355303679258
Choeropsis_liberiensis,CETARTIODACTYLA,1,1,1.83783422292436,19.2271768326532,0.353716774922834,5.81358177088749,18.2271768326532,4.81358177088749
Choloepus_didactylus,PILOSA,2,2,2.93682344683781,21.3895410634874,1.57887597002221,14.3632848288517,19.3895410634874,12.3632848288517
Chrotopterus_auritus,CHIROPTERA,1,1,2.92601958914908,39.3286533554329,0.891027158380984,29.3694466834414,38.3286533554329,28.3694466834414
Chrysocyon_brachyurus,CARNIVORA,1,1,3.60969990781643,16.4921286948552,0.724495814925265,10.5877448867688,15.4921286948552,9.58774488676876
Coendou_prehensilis,RODENTIA,1,1,3.79746712034984,30.1689537126971,0.810127775444719,20.443473873862,29.1689537126971,19.443473873862
Colobus_guereza,PRIMATES,3,2,5.21124071629288,25.0432793782011,2.02809407759205,15.0019914186633,22.0432793782011,13.0019914186633
Colobus_polykomos,PRIMATES,1,1,1.99026108392498,19.5582866383591,0.705550344238443,11.8561617339913,18.5582866383591,10.8561617339913
Connochaetes_gnou,CETARTIODACTYLA,2,1,1.25629007528911,12.7375212615768,0.761431435858821,4.09823409454752,10.7375212615768,3.09823409454752
Connochaetes_taurinus,CETARTIODACTYLA,9,2,5.29149274053174,24.1489541516298,2.96267844880742,7.31624962855694,15.1489541516298,5.31624962855694
Cricetomys_emini,RODENTIA,1,1,1.81937447947648,24.0033605785223,0.676102561737328,13.5590869486823,23.0033605785223,12.5590869486823
Cricetus_cricetus,RODENTIA,1,0,3.88487014564232,17.6649400283247,0.651236177841208,10.8642496684114,16.6649400283247,10.8642496684114
Crocidura_leucodon,EULIPOTYPHLA,1,1,0.831389635080182,4.34468694892162,0.740942084393896,2.86394334738476,3.34468694892162,1.86394334738476
Crocidura_russula,EULIPOTYPHLA,1,1,0.946352637727541,4.26473044995137,0.686176075114244,2.72442289385928,3.26473044995137,1.72442289385928
Crocuta_crocuta,CARNIVORA,6,2,3.84892339305955,17.331582012214,3.31527096721398,9.22566815886628,11.331582012214,7.22566815886628
Cynictis_penicillata,CARNIVORA,1,1,1.22088826284991,9.69933914448245,0.692614210559366,5.68558735756501,8.69933914448245,4.68558735756501
Cynomops_abrasus,CHIROPTERA,1,1,2.87600612295237,37.8809154319704,0.82753362527357,27.1204104376854,36.8809154319704,26.1204104376854
Cynomys_ludovicianus,RODENTIA,1,1,3.63281568316957,15.6702386954743,0.713691212794248,10.559305207345,14.6702386954743,9.55930520734497
Cynopterus_brachyotis,CHIROPTERA,8,4,3.36885887551317,31.1153836769385,5.70923458627998,19.0208916613066,23.1153836769385,15.0208916613066
